#TYPE Microsoft.PowerShell.Commands.MatchInfo
"IgnoreCase","LineNumber","Line","Filename","Path","Pattern","Context","Matches"
"True","111","PN: 000_LIFTER_DIA_100MM | Name: 000_LIFTER_DIA_80MM.1 | Size: Not Measurable","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","116","PN: 000_LIFTER_DIA_100MM | Name: 000_LIFTER_DIA_80MM.2 | Size: Not Measurable","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","119","  [DEBUG] Document-level STL success. Size: 336266","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","121","PN: DTPK38-60-20-Y_1 | Name: DTPK38-60-20-Y_1.1 | Size: 38.0 x 60.0 x 20.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","124","  [DEBUG] Document-level STL success. Size: 336266","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","126","PN: DTPK38-60-20-Y_1 | Name: DTPK38-60-20-Y_1.2 | Size: 38.0 x 60.0 x 20.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","129","  [DEBUG] Document-level STL success. Size: 336266","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","131","PN: DTPK38-60-20-Y_1 | Name: DTPK38-60-20-Y_1.3 | Size: 38.0 x 60.0 x 20.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","134","  [DEBUG] Document-level STL success. Size: 336266","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","136","PN: DTPK38-60-20-Y_1 | Name: DTPK38-60-20-Y_1.4 | Size: 38.0 x 60.0 x 20.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","139","  [DEBUG] Document-level STL success. Size: 596197","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
